x,y,r,g,b,opacity
48,9,33,59,177,1.0
49,9,33,58,177,1.0
50,9,32,58,177,1.0
51,9,32,58,178,1.0
52,9,33,58,178,1.0
53,9,33,59,178,1.0
54,9,33,59,178,1.0
55,9,33,59,178,1.0
56,9,33,59,178,1.0
57,9,33,59,178,1.0
58,9,33,58,177,1.0
59,9,33,58,177,1.0
60,9,33,58,178,1.0
61,9,33,59,178,1.0
62,9,33,59,178,1.0
63,9,33,59,178,0.7
64,9,33,59,177,0.1
78,9,33,59,177,0.1
79,9,33,59,178,0.6
80,9,33,59,178,0.9
81,9,33,59,177,1.0
82,9,33,59,177,1.0
83,9,33,58,177,1.0
84,9,32,58,177,1.0
85,9,33,59,178,1.0
86,9,33,59,178,1.0
87,9,33,59,178,1.0
88,9,33,59,178,1.0
89,9,33,59,178,1.0
90,9,33,59,178,1.0
91,9,33,59,178,1.0
92,9,32,58,177,0.9
93,9,32,58,177,0.9
94,9,32,59,178,0.9
95,9,32,58,177,0.9
96,9,32,58,178,0.9
97,9,33,58,178,0.9
98,9,33,58,177,0.9
99,9,33,59,178,0.9
100,9,33,59,177,0.9
101,9,33,58,177,0.9
102,9,33,59,178,0.9
103,9,33,59,178,0.9
104,9,33,59,177,0.9
105,9,33,59,178,0.9
106,9,32,59,178,0.9
107,9,33,59,178,0.9
108,9,33,59,177,0.9
109,9,33,59,177,0.9
110,9,32,58,178,1.0
111,9,32,59,178,1.0
112,9,32,58,177,1.0
113,9,33,58,178,1.0
114,9,33,58,177,1.0
115,9,33,58,177,1.0
116,9,33,58,177,1.0
117,9,32,59,177,1.0
118,9,32,59,178,1.0
119,9,33,59,178,1.0
120,9,33,59,178,1.0
121,9,33,59,177,1.0
122,9,33,59,178,1.0
123,9,32,58,178,1.0
124,9,33,59,178,1.0
125,9,33,59,177,1.0
126,9,33,59,178,1.0
127,9,32,58,178,1.0
128,9,32,58,178,0.7
129,9,33,58,177,0.2
130,9,35,56,176,0.0
11,10,32,58,177,0.0
12,10,32,58,177,0.1
13,10,33,58,178,0.3
14,10,33,58,177,0.3
15,10,32,58,177,0.3
16,10,33,59,178,0.3
17,10,33,59,178,0.3
18,10,33,58,177,0.3
19,10,33,59,177,0.3
20,10,33,58,178,0.3
21,10,33,58,177,0.3
22,10,33,59,178,0.3
23,10,33,59,178,0.3
24,10,33,58,177,0.3
25,10,33,58,177,0.3
26,10,33,59,178,0.3
27,10,33,58,178,0.3
28,10,33,58,178,0.3
29,10,33,58,178,0.4
30,10,33,58,177,0.4
31,10,33,58,177,0.5
32,10,33,59,177,0.6
33,10,33,59,177,0.7
34,10,33,59,178,0.9
35,10,32,58,178,1.0
36,10,33,59,178,1.0
37,10,33,59,178,1.0
38,10,33,59,178,1.0
39,10,33,59,178,1.0
40,10,33,59,178,1.0
41,10,33,58,178,1.0
42,10,32,58,177,1.0
43,10,32,59,177,1.0
44,10,33,59,177,1.0
45,10,33,59,178,1.0
46,10,33,59,178,1.0
47,10,33,59,178,1.0
48,10,33,59,177,1.0
49,10,32,59,177,1.0
50,10,32,58,177,1.0
51,10,32,58,177,0.8
52,10,32,58,178,0.8
53,10,33,59,178,1.0
54,10,33,59,178,1.0
55,10,33,59,178,1.0
56,10,32,59,178,1.0
57,10,32,58,177,1.0
58,10,33,58,177,1.0
59,10,33,58,177,1.0
60,10,33,59,178,1.0
61,10,32,59,177,1.0
62,10,33,59,178,1.0
63,10,33,59,178,0.8
64,10,33,59,178,0.2
77,10,32,58,178,0.1
78,10,32,58,177,0.5
79,10,33,58,178,0.9
80,10,33,59,178,1.0
81,10,33,59,178,1.0
82,10,33,59,177,1.0
83,10,32,59,178,1.0
84,10,32,58,177,1.0
85,10,32,59,178,1.0
86,10,33,59,178,1.0
87,10,33,59,178,1.0
88,10,33,59,178,1.0
89,10,33,59,178,1.0
90,10,32,59,178,1.0
91,10,33,59,177,0.7
92,10,33,59,177,0.4
93,10,32,59,177,0.3
94,10,33,59,178,0.3
95,10,33,58,178,0.3
96,10,33,58,178,0.3
97,10,33,59,178,0.3
98,10,33,58,178,0.3
99,10,33,59,178,0.3
100,10,33,59,177,0.3
101,10,33,59,177,0.3
102,10,33,59,178,0.3
103,10,33,59,178,0.3
104,10,33,59,178,0.3
105,10,33,59,178,0.3
106,10,32,59,178,0.3
107,10,33,59,178,0.3
108,10,33,59,177,0.4
109,10,32,59,177,0.4
110,10,32,59,177,0.5
111,10,32,59,178,0.6
112,10,32,58,178,0.7
113,10,33,59,178,0.9
114,10,33,59,178,1.0
115,10,33,58,177,1.0
116,10,33,58,177,1.0
117,10,32,58,178,1.0
118,10,32,59,178,1.0
119,10,32,59,178,1.0
120,10,33,59,178,1.0
121,10,32,59,178,1.0
122,10,32,59,178,1.0
123,10,32,59,178,1.0
124,10,33,59,178,1.0
125,10,32,59,178,1.0
126,10,32,59,177,1.0
127,10,32,58,177,1.0
128,10,32,59,177,1.0
129,10,32,58,177,0.6
130,10,32,59,177,0.1
29,11,32,58,174,0.0
30,11,32,59,177,0.0
31,11,33,59,177,0.0
32,11,32,59,177,0.1
33,11,32,59,177,0.1
34,11,32,59,178,0.3
35,11,32,58,178,0.6
36,11,32,59,178,0.8
37,11,33,59,178,1.0
38,11,33,58,178,1.0
39,11,33,59,178,1.0
40,11,33,59,178,1.0
41,11,33,59,178,1.0
42,11,33,58,177,1.0
43,11,33,59,178,1.0
44,11,32,59,177,1.0
45,11,33,59,178,1.0
46,11,33,59,178,1.0
47,11,33,58,177,1.0
48,11,33,59,178,1.0
49,11,32,59,177,1.0
50,11,32,58,177,1.0
51,11,33,58,178,0.8
52,11,33,59,177,0.6
53,11,32,58,178,0.9
54,11,33,58,178,1.0
55,11,33,59,178,1.0
56,11,32,58,177,1.0
57,11,33,58,177,1.0
58,11,33,58,177,1.0
59,11,33,58,178,1.0
60,11,33,59,178,1.0
61,11,33,59,177,1.0
62,11,33,58,177,1.0
63,11,33,59,178,0.9
64,11,33,59,178,0.4
65,11,32,58,178,0.0
76,11,33,58,177,0.0
77,11,32,59,178,0.4
78,11,32,59,177,0.9
